# ----------------------------------------
# Firebase overview
# Account: Default Account for Firebase
# Property: quran-playera-app
# ----------------------------------------
# How are active users trending?
# Start date: 20260101
# End date: 20260522
Nth day,30 days,7 days,1 day
0135,0,0,0,0,1
0136,0,0,1,0,1
0137,1,0,0,0,2
0138,0,0,0,0,1
0139,0,0,1,0,0
0140,0,0,0,0,0
0141,0,0,0,0,0

#  
# Start date: 20260101
# End date: 20260522
App,Version,Status
13190912032,1.0.4,Successful

#  
# Start date: 20260522
# End date: 20260522
App,Crash-free users
13190912032,1

# Start date: 20260521
# End date: 20260521
App,Crash-free users
13190912032,1

#  
# Start date: 20260101
# End date: 20260522
Nth week,Average engagement time per active user
0000,44.72566371681416
0001,55.355421686746986
0002,311.8
0003,338
0004,202.8
0005,334.81481481481484
0006,536.4782608695652
0007,1964.8709677419354
0008,434.38
0009,781.75
0010,612.68
0011,402.37931034482756
0012,1039.2666666666667
0013,301.6333333333333
0014,906.4166666666666
0015,1104.1875
0016,511.9259259259259
0017,270.5
0018,566.4358974358975
0019,397.27272727272725
0020,316.27027027027026

# Start date: 20260101
# End date: 20260522
Nth week,Engaged sessions per active user
0000,0.4778761061946903
0001,0.35542168674698793
0002,1.28
0003,1.553191489361702
0004,1.2833333333333334
0005,1.8148148148148149
0006,1.8695652173913044
0007,1.8709677419354838
0008,1.72
0009,2.95
0010,2.44
0011,1.7586206896551724
0012,2.5555555555555554
0013,1.1833333333333333
0014,3.5
0015,3.5625
0016,1.5925925925925926
0017,1.8
0018,1.2820512820512822
0019,1.7272727272727273
0020,1.837837837837838

# Start date: 20260101
# End date: 20260522
Nth week,Average engagement time per session
0000,32.81818181818182
0001,40.30263157894737
0002,155.9
0003,169
0004,104.89655172413794
0005,118.94736842105263
0006,212.74137931034483
0007,791.0519480519481
0008,193.91964285714286
0009,226.59420289855072
0010,209.82191780821918
0011,169.1159420289855
0012,315.9932432432432
0013,166.03669724770643
0014,209.17307692307693
0015,252.38571428571427
0016,219.3968253968254
0017,103.04761904761905
0018,283.21794871794873
0019,157.95180722891567
0020,120.63917525773196

#  
# Start date: 20260410
# End date: 20260521
Cohort,Active users
0000,1
0001,0.0625
0002,0.027522935779816515
0003,0.02830188679245283
0004,0.019417475728155338
0005,0.01
0006,0
0007,0.010869565217391304
0008,0.011494252873563218
0009,0.011627906976744186
0010,0.011904761904761904
0011,0.013513513513513514
0012,0
0013,0.014285714285714285
0014,0
0015,0
0016,0
0017,0
0018,0.025
0019,0.025
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,NaN

# How well do you retain your users?
# Start date: 20260405
# End date: 20260516
Date,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5
Apr 5 - Apr 11,0,0,0,0,0,0
Apr 12 - Apr 18,3,0,0,0,0,-1
Apr 19 - Apr 25,14,1,0,0,-1,-1
Apr 26 - May 2,22,1,0,-1,-1,-1
May 3 - May 9,31,1,-1,-1,-1,-1
May 10 - May 16,26,-1,-1,-1,-1,-1

# Where does your average 120d value come from?
# Start date: 20260101
# End date: 20260522
First user primary channel group (Default Channel Group),Average 120d value


#  
# Start date: 20260101
# End date: 20260522
Page title and screen class,Views
MainActivity,10809
ReciterDetailsScreen,770
AudioServiceActivity,170
HiddenActivity,118
LicenseActivity,88
OnboardingActivity,64
LuciqDialogActivity,16
ManageStorageActivity,11
ReportingContainerActivity,2
LuciqThanksActivity,1
ProxyBillingActivity,1

#  
# Start date: 20260101
# End date: 20260522
Event name,Event count
athkar_item_decrement,29367
screen_view,12050
adhan_alarm_cancelled,6225
native_adhan_schedule_success,5322
athkar_item_completed,4297
adhan_alarm_scheduled,4271
user_engagement,3942
audio_play,2797
app_start,1945
session_start,1942
athkar_categories_loaded,1372
audio_pause,904
download_complete,768
first_open,633
athkar_items_loaded,472
watchdog_triggered,409
app_exception,366
watchdog_completed,364
audio_seek,350
download_cancel,298
app_remove,193
audio_stop,189
boot_receiver_triggered,171
download_start,103
athkar_item_reset,102
adhan_fallback_used,67
notification_receive,63
adhan_playback_started,62
adhan_receiver_triggered,62
adhan_service_started,62
prayer_trigger_delta,62
athkar_read_start,59
adhan_playback_completed,37
adhan_stop_button_clicked,28
notification_open,26
adhan_service_abnormal_termination,24
app_update,16
notification_dismiss,15
app_clear_data,14
permission_revoked_cleanup_completed,12
adhan_stop_tapped_from_app,10
prayer_notification_tapped,10
watchdog_timeout_occurred,10
athkar_notification_open,8
os_update,8
notification_foreground,7
download_retry,5
download_retry_success,5
delete_reciter_downloads,1
support_purchase_started,1
support_screen_viewed,1
support_tier_selected,1

# What are your top performing key events?
# Start date: 20260101
# End date: 20260522
Event name,Key events
first_open,633

#  
# Start date: 20260101
# End date: 20260522
Nth week,Total revenue


# Start date: 20260101
# End date: 20260522
Nth week,Purchase revenue


# Start date: 20260101
# End date: 20260522
Nth week,Total ad revenue


#  
# Start date: 20260101
# End date: 20260522
Nth week,Average purchase revenue per active user


#  
# Start date: 20260101
# End date: 20260522
Country ID,Active users
CA,1
DZ,4
EG,521
FR,1
IN,3
IQ,2
IT,1
JO,1
LB,2
MA,6
NG,3
PH,1
PK,2
PS,1
QA,1
SA,9
SD,1
SY,1
TN,1
US,27
YE,8

# Start date: 20260101
# End date: 20260522
Country,Active users
EG,521
US,27
SA,9
YE,8
MA,6
DZ,4
IN,3

#  
# Start date: 20260101
# End date: 20260522
Device model,Active users
CPH2529,75
Pixel 6 Pro,17
21121119SC,8
M2004J19C,7
CPH1909,4
CPH2603,4
CPH2669,4
Redmi Note 9S,4
SM-A217F,4
STK-L21,4
CPH2159,3
CPH2591,3
CPH2641,3
RMX3930,3
SM-A266B,3
SM-X218U,3
V2424,3
220333QAG,2
23129RAA4G,2
2404ARN45A,2
24117RN76G,2
A015,2
BRP-NX1,2
CPH2325,2
CPH2505,2
CPH2727,2
KM4,2
M2006C3MG,2
